Date,Index,Close,High,Low,Open,Volume
2022-01-03,^DJI,36585.05859375,36595.8203125,36246.44921875,36321.58984375,347930000
2022-01-03,^GSPC,4796.56005859375,4796.64013671875,4758.169921875,4778.14013671875,3831020000
2022-01-03,^IXIC,15832.7998046875,15832.7998046875,15644.08984375,15732.5,4429960000
2022-01-04,^DJI,36799.6484375,36934.83984375,36636.0,36636.0,435080000
2022-01-04,^GSPC,4793.5400390625,4818.6201171875,4774.27001953125,4804.509765625,4683170000
2022-01-04,^IXIC,15622.7197265625,15852.1396484375,15512.41015625,15852.1396484375,5131110000
2022-01-05,^DJI,36407.109375,36952.6484375,36400.390625,36722.6015625,462040000
2022-01-05,^GSPC,4700.580078125,4797.7001953125,4699.43994140625,4787.990234375,4887960000
2022-01-05,^IXIC,15100.169921875,15586.2998046875,15095.1796875,15547.16015625,5031850000
2022-01-06,^DJI,36236.46875,36464.19140625,36200.6796875,36409.05078125,385890000
2022-01-06,^GSPC,4696.0498046875,4725.009765625,4671.259765625,4693.39013671875,4295280000
2022-01-06,^IXIC,15080.8603515625,15198.4501953125,14914.8701171875,15024.150390625,4790820000
2022-01-07,^DJI,36231.66015625,36382.83984375,36111.53125,36249.58984375,356110000
2022-01-07,^GSPC,4677.02978515625,4707.9501953125,4662.740234375,4697.66015625,4181510000
2022-01-07,^IXIC,14935.900390625,15171.01953125,14877.6298828125,15095.7197265625,4238070000
2022-01-10,^DJI,36068.87109375,36175.2109375,35639.91015625,36175.2109375,430680000
2022-01-10,^GSPC,4670.2900390625,4673.02001953125,4582.240234375,4655.33984375,4511810000
2022-01-10,^IXIC,14942.830078125,14953.849609375,14530.23046875,14751.7802734375,5317180000
2022-01-11,^DJI,36252.01953125,36271.46875,35769.37890625,36058.8515625,356850000
2022-01-11,^GSPC,4713.06982421875,4714.1298828125,4638.27001953125,4669.14013671875,4101590000
2022-01-11,^IXIC,15153.4501953125,15158.7099609375,14837.6298828125,14919.259765625,4390710000
2022-01-12,^DJI,36290.3203125,36453.48828125,36168.1484375,36336.16015625,310180000
2022-01-12,^GSPC,4726.35009765625,4748.830078125,4706.7099609375,4728.58984375,4048220000
2022-01-12,^IXIC,15188.3896484375,15319.0302734375,15117.2900390625,15263.099609375,4338530000
2022-01-13,^DJI,36113.62109375,36513.87890625,36044.21875,36312.48828125,343640000
2022-01-13,^GSPC,4659.02978515625,4744.1298828125,4650.2900390625,4733.56005859375,4251730000
2022-01-13,^IXIC,14806.8095703125,15259.7099609375,14782.240234375,15245.0400390625,4302020000
