Date,Ticker,Adj Close,Close,High,Low,Open,Volume
2022-01-03,AAPL,178.10366821289062,182.00999450683594,182.8800048828125,177.7100067138672,177.8300018310547,104487900
2022-01-03,AMZN,170.4044952392578,170.4044952392578,170.70350646972656,166.16050720214844,167.5500030517578,63520000
2022-01-03,GOOGL,143.802978515625,144.9915008544922,145.8509979248047,143.71299743652344,145.05499267578125,28646000
2022-01-03,MSFT,323.1607971191406,334.75,338.0,329.7799987792969,335.3500061035156,28865100
2022-01-03,TSLA,399.9266662597656,399.9266662597656,400.3566589355469,378.67999267578125,382.5833435058594,103931400
2022-01-04,AAPL,175.84324645996094,179.6999969482422,182.94000244140625,179.1199951171875,182.6300048828125,99310400
2022-01-04,AMZN,167.52200317382812,167.52200317382812,171.39999389648438,166.34950256347656,170.43800354003906,70726000
2022-01-04,GOOGL,143.21583557128906,144.39950561523438,146.48500061035156,143.7165069580078,145.39599609375,28400000
2022-01-04,MSFT,317.61956787109375,329.010009765625,335.20001220703125,326.1199951171875,334.8299865722656,32674300
2022-01-04,TSLA,383.1966552734375,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300
2022-01-05,AAPL,171.1658477783203,174.9199981689453,180.1699981689453,174.63999938964844,179.61000061035156,94537600
2022-01-05,AMZN,164.35699462890625,164.35699462890625,167.12649536132812,164.35699462890625,166.88299560546875,64302000
2022-01-05,GOOGL,136.6456298828125,137.77499389648438,144.49949645996094,137.68800354003906,144.4199981689453,54618000
2022-01-05,MSFT,305.42681884765625,316.3800048828125,326.07000732421875,315.9800109863281,325.8599853515625,40054300
2022-01-05,TSLA,362.7066650390625,362.7066650390625,390.11334228515625,360.336669921875,382.2166748046875,80119800
2022-01-06,AAPL,168.3085174560547,172.0,175.3000030517578,171.63999938964844,172.6999969482422,96904000
2022-01-06,AMZN,163.25399780273438,163.25399780273438,164.8000030517578,161.93699645996094,163.45050048828125,51958000
2022-01-06,GOOGL,136.6183624267578,137.74749755859375,139.94000244140625,136.55850219726562,136.99850463867188,37348000
2022-01-06,MSFT,303.0132751464844,313.8800048828125,318.70001220703125,311.489990234375,313.1499938964844,39646100
2022-01-06,TSLA,354.8999938964844,354.8999938964844,362.6666564941406,340.1666564941406,359.0,90336600
2022-01-07,AAPL,168.47482299804688,172.1699981689453,174.13999938964844,171.02999877929688,172.88999938964844,86709100
2022-01-07,AMZN,162.5540008544922,162.5540008544922,165.24349975585938,162.031005859375,163.83900451660156,46606000
2022-01-07,GOOGL,135.89381408691406,137.01699829101562,138.44850158691406,135.76649475097656,138.14549255371094,29760000
2022-01-07,MSFT,303.1678161621094,314.0400085449219,316.5,310.0899963378906,314.1499938964844,32720000
2022-01-07,TSLA,342.32000732421875,342.32000732421875,360.30999755859375,336.6666564941406,360.1233215332031,84164700
2022-01-10,AAPL,168.49444580078125,172.19000244140625,172.5,168.1699981689453,169.0800018310547,106765600
2022-01-10,AMZN,161.48599243164062,161.48599243164062,161.6614990234375,156.30450439453125,160.5854949951172,87798000
2022-01-10,GOOGL,137.5327911376953,138.66949462890625,138.8195037841797,133.1645050048828,135.0780029296875,44408000
2022-01-10,MSFT,303.3898010253906,314.2699890136719,314.7200012207031,304.69000244140625,309.489990234375,44289500
2022-01-10,TSLA,352.7066650390625,352.7066650390625,353.0333251953125,326.6666564941406,333.3333435058594,91815000
2022-01-11,AAPL,171.32241821289062,175.0800018310547,175.17999267578125,170.82000732421875,172.32000732421875,76138300
2022-01-11,AMZN,165.36199951171875,165.36199951171875,166.35000610351562,160.70150756835938,161.5,62806000
2022-01-11,GOOGL,138.59054565429688,139.73599243164062,140.21600341796875,136.6925048828125,138.0070037841797,28730000
2022-01-11,MSFT,304.07525634765625,314.9800109863281,316.6099853515625,309.8900146484375,313.3800048828125,29386800
2022-01-11,TSLA,354.79998779296875,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300
2022-01-12,AAPL,171.7627410888672,175.52999877929688,177.17999267578125,174.82000732421875,176.1199951171875,74805200
2022-01-12,AMZN,165.20700073242188,165.20700073242188,166.8780059814453,164.41700744628906,166.5749969482422,50030000
2022-01-12,GOOGL,140.2711639404297,141.4304962158203,142.60800170898438,140.6945037841797,141.14999389648438,26108000
2022-01-12,MSFT,307.2512512207031,318.2699890136719,323.4100036621094,317.0799865722656,319.6700134277344,34372200
2022-01-12,TSLA,368.739990234375,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000
2022-01-13,AAPL,168.49444580078125,172.19000244140625,176.6199951171875,171.7899932861328,175.77999877929688,84505800
2022-01-13,AMZN,161.21400451660156,161.21400451660156,166.22149658203125,161.09100341796875,165.25050354003906,52188000
2022-01-13,GOOGL,137.4509735107422,138.58700561523438,142.85000610351562,138.40899658203125,141.5399932861328,31436000
2022-01-13,MSFT,294.2476501464844,304.79998779296875,320.8800048828125,304.0,320.4700012207031,45366000
2022-01-13,TSLA,343.85333251953125,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900
2022-01-14,AAPL,169.35556030273438,173.07000732421875,173.77999877929688,171.08999633789062,171.33999633789062,80440800
2022-01-14,AMZN,162.13800048828125,162.13800048828125,162.25,159.80050659179688,160.14999389648438,45974000
2022-01-14,GOOGL,138.337158203125,139.48049926757812,140.74200439453125,136.99850463867188,137.07899475097656,29662000
2022-01-14,MSFT,299.46075439453125,310.20001220703125,310.82000732421875,303.75,304.25,39846400
2022-01-14,TSLA,349.8699951171875,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300
2022-01-18,AAPL,166.15573120117188,169.8000030517578,172.5399932861328,169.41000366210938,171.50999450683594,90956700
2022-01-18,AMZN,158.91749572753906,158.91749572753906,159.7344970703125,157.6645050048828,159.10499572753906,67292000
2022-01-18,GOOGL,134.88319396972656,135.9980010986328,137.13150024414062,135.43850708007812,136.1750030517578,34872000
2022-01-18,MSFT,292.1720886230469,302.6499938964844,309.79998779296875,301.739990234375,304.07000732421875,42333200
2022-01-18,TSLA,343.5033264160156,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400
2022-01-19,AAPL,162.66232299804688,166.22999572753906,171.0800018310547,165.94000244140625,170.0,94815000
2022-01-19,AMZN,156.2989959716797,156.2989959716797,159.25,156.25,158.76199340820312,53242000
2022-01-19,GOOGL,134.0089111328125,135.1165008544922,137.95950317382812,135.0155029296875,136.52349853515625,28648000
2022-01-19,MSFT,292.82855224609375,303.3299865722656,313.9100036621094,302.70001220703125,306.2900085449219,45933900
2022-01-19,TSLA,331.8833312988281,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500
2022-01-20,AAPL,160.979248046875,164.50999450683594,169.67999267578125,164.17999267578125,166.97999572753906,91420500
2022-01-20,AMZN,151.66749572753906,151.66749572753906,158.0,151.3509979248047,156.76600646972656,71974000
2022-01-20,GOOGL,132.21473693847656,133.3074951171875,137.62600708007812,132.96449279785156,136.25,29908000
2022-01-20,MSFT,291.1584167480469,301.6000061035156,311.6499938964844,301.1400146484375,309.07000732421875,35380700
2022-01-20,TSLA,332.0899963378906,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600
2022-01-21,AAPL,158.92434692382812,162.41000366210938,166.3300018310547,162.3000030517578,164.4199981689453,122848900
2022-01-21,AMZN,142.64300537109375,142.64300537109375,150.89999389648438,142.07049560546875,149.9499969482422,163972000
2022-01-21,GOOGL,129.28298950195312,130.35150146484375,134.86549377441406,130.0865020751953,132.593505859375,55652000
2022-01-21,MSFT,285.7812805175781,296.0299987792969,304.1099853515625,295.6099853515625,302.69000244140625,57984400
2022-01-21,TSLA,314.6333312988281,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000
2022-01-24,AAPL,158.1512908935547,161.6199951171875,162.3000030517578,154.6999969482422,160.02000427246094,162294600
2022-01-24,AMZN,144.54400634765625,144.54400634765625,144.94500732421875,135.3520050048828,139.0,155624000
2022-01-24,GOOGL,129.7317657470703,130.8040008544922,131.2030029296875,124.5,125.97799682617188,76622000
2022-01-24,MSFT,286.1095275878906,296.3699951171875,297.1099853515625,276.04998779296875,292.20001220703125,85731500
2022-01-24,TSLA,310.0,310.0,311.1700134277344,283.8233337402344,301.586669921875,151565700
2022-01-25,AAPL,156.35076904296875,159.77999877929688,162.75999450683594,157.02000427246094,158.97999572753906,115798400
2022-01-25,AMZN,139.98599243164062,139.98599243164062,143.60000610351562,138.14500427246094,142.24249267578125,90824000
2022-01-25,GOOGL,125.89448547363281,126.93499755859375,129.3990020751953,126.50050354003906,128.74000549316406,46960000
2022-01-25,MSFT,278.5023498535156,288.489990234375,294.989990234375,285.1700134277344,291.5199890136719,72848600
2022-01-25,TSLA,306.1333312988281,306.1333312988281,317.086669921875,301.07000732421875,304.73333740234375,86595900
2022-01-26,AAPL,156.26272583007812,159.69000244140625,164.38999938964844,157.82000732421875,163.5,108275300
2022-01-26,AMZN,138.87249755859375,138.87249755859375,145.18499755859375,137.31849670410156,144.75,95602000
2022-01-26,GOOGL,128.17364501953125,129.23300170898438,133.0,127.14199829101562,131.11900329589844,49130000
2022-01-26,MSFT,286.4376525878906,296.7099914550781,308.5,293.0299987792969,307.989990234375,90428900
2022-01-26,TSLA,312.4700012207031,312.4700012207031,329.2300109863281,302.0,317.4766540527344,104867400
2022-01-27,AAPL,155.8028106689453,159.22000122070312,163.83999633789062,158.27999877929688,162.4499969482422,121954600
2022-01-27,AMZN,139.6374969482422,139.6374969482422,144.24349975585938,139.35000610351562,140.8000030517578,77516000
2022-01-27,GOOGL,127.94754028320312,129.0050048828125,132.65249633789062,128.9324951171875,131.3040008544922,31950000
2022-01-27,MSFT,289.4593811035156,299.8399963378906,307.29998779296875,297.92999267578125,302.6600036621094,53481300
2022-01-27,TSLA,276.3666687011719,276.3666687011719,311.7966613769531,276.3333435058594,311.1199951171875,147109500
2022-01-28,AAPL,166.6743621826172,170.3300018310547,170.35000610351562,162.8000030517578,165.7100067138672,179935700
2022-01-28,AMZN,143.97799682617188,143.97799682617188,143.9980010986328,137.92950439453125,140.86050415039062,74392000
2022-01-28,GOOGL,132.2578887939453,133.3509979248047,133.35650634765625,128.48500061035156,129.65899658203125,34362000
2022-01-28,MSFT,297.587890625,308.260009765625,308.4800109863281,294.45001220703125,300.2300109863281,49743700
2022-01-28,TSLA,282.1166687011719,282.1166687011719,285.8333435058594,264.0033264160156,277.1866760253906,134789100
2022-01-31,AAPL,171.02880859375,174.77999877929688,175.0,169.50999450683594,170.16000366210938,115541600
2022-01-31,AMZN,149.57350158691406,149.57350158691406,150.36050415039062,144.30050659179688,144.75,78308000
2022-01-31,GOOGL,134.19436645507812,135.30349731445312,135.47300720214844,132.20950317382812,134.16200256347656,39986000
2022-01-31,MSFT,300.2137145996094,310.9800109863281,312.3800048828125,306.3699951171875,308.95001220703125,46444500
2022-01-31,TSLA,312.239990234375,312.239990234375,312.663330078125,287.3500061035156,290.9033203125,104436000
2022-02-01,AAPL,170.8625030517578,174.61000061035156,174.83999633789062,172.30999755859375,174.00999450683594,86213900
2022-02-01,AMZN,151.19349670410156,151.19349670410156,151.70799255371094,147.62750244140625,150.0,59220000
2022-02-01,GOOGL,136.51568603515625,137.6439971923828,137.79299926757812,134.36849975585938,137.59449768066406,68644000
2022-02-01,MSFT,298.0705871582031,308.760009765625,310.6300048828125,305.1300048828125,310.4100036621094,40950400
2022-02-01,TSLA,310.4166564941406,310.4166564941406,314.5666809082031,301.6666564941406,311.7366638183594,73138200
2022-02-02,AAPL,172.0660858154297,175.83999633789062,175.8800048828125,173.3300018310547,174.75,84914300
2022-02-02,AMZN,150.6125030517578,150.6125030517578,155.0749969482422,148.86349487304688,155.05050659179688,87330000
2022-02-02,GOOGL,146.7867889404297,148.0,151.54649353027344,145.5225067138672,151.25,123200000
2022-02-02,MSFT,302.6078186035156,313.4599914550781,315.1199951171875,308.8800048828125,309.6300048828125,36636000
2022-02-02,TSLA,301.88665771484375,301.88665771484375,310.5,296.4700012207031,309.3933410644531,66792900
2022-02-03,AAPL,169.18919372558594,172.89999389648438,176.24000549316406,172.1199951171875,174.47999572753906,89418100
2022-02-03,AMZN,138.8455047607422,138.8455047607422,144.24749755859375,138.33299255371094,141.7375030517578,225532000
2022-02-03,GOOGL,141.91705322265625,143.08999633789062,149.6750030517578,142.66549682617188,145.70550537109375,71518000
2022-02-03,MSFT,290.820556640625,301.25,311.2300109863281,299.9599914550781,309.489990234375,43730000
2022-02-03,TSLA,297.0466613769531,297.0466613769531,312.3333435058594,293.50665283203125,294.0,78855600
2022-02-04,AAPL,168.90504455566406,172.38999938964844,174.10000610351562,170.67999267578125,171.67999267578125,82465400
